original_smiles,fragment_smiles,fragment
OCCOCCO,*CCO,*CCO
CC(=O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O,*C(C)=O,*C(C)=O
CC(=O)N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O,*N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O,*N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O
OCCOCCO,*CCO,*CCO
OCCOCCO,*CCO,*CCO
OCCOCCO,*CCO,*CCO
OCCOCCO,*CCO,*CCO
OCCOCCO,*CCO,*CCO
OCCOCCO,*CCO,*CCO
OCCOCCO,*CCO,*CCO
OCCOCCO,*CCO,*CCO
OCCOCCO,*CCO,*CCO
OCCOCCO,*CCO,*CCO
OCCOCCOCCOCCOCCOCCO,*CCO,*CCO
OCCOCCOCCOCCOCCOCCO,*CCOCCOCCOCCOCCO,*CCOCCOCCOCCOCCO
OCCOCCOCCOCCOCCOCCO,*CCOCCO,*CCOCCO
OCCOCCOCCOCCOCCOCCO,*CCOCCOCCOCCO,*CCOCCOCCOCCO
OCCOCCOCCOCCOCCOCCO,*CCOCCOCCO,*CCOCCOCCO
CCOCCOCCOCCOCCOCCOCCOCCOCCO,*CCOCC,*CCOCC
CCOCCOCCOCCOCCOCCOCCOCCOCCO,*CCOCCOCCOCCOCCOCCOCCO,*CCOCCOCCOCCOCCOCCOCCO
CCOCCOCCOCCOCCOCCOCCOCCOCCO,*CCOCCOCC,*CCOCCOCC
CCOCCOCCOCCOCCOCCOCCOCCOCCO,*CCOCCOCCOCCOCCOCCO,*CCOCCOCCOCCOCCOCCO
CCOCCOCCOCCOCCOCCOCCOCCOCCO,*CCOCCOCCOCC,*CCOCCOCCOCC
CCOCCOCCOCCOCCOCCOCCOCCOCCO,*CCOCCOCCOCCOCCO,*CCOCCOCCOCCOCCO
CCOCCOCCOCCOCCOCCOCCOCCOCCO,*CCOCCOCCOCCO,*CCOCCOCCOCCO
CCOCCOCCOCCOCCOCCOCCOCCOCCO,*CCOCCOCCOCCOCC,*CCOCCOCCOCCOCC
CCOCCOCCOCCOCCOCCOCCOCCOCCO,*CCOCCOCCO,*CCOCCOCCO
CCOCCOCCOCCOCCOCCOCCOCCOCCO,*CCOCCOCCOCCOCCOCC,*CCOCCOCCOCCOCCOCC
