original_smiles,fragment_smiles,fragment
COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4cn[nH]c4)c3)c2cc1OC,*[C@H](C)c1cccc(-c2cn[nH]c2)c1,*[C@H](C)c1cccc(-c2cn[nH]c2)c1
COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4cn[nH]c4)c3)c2cc1OC,*c1nc(C)nc2cc(OC)c(OC)cc12,*c1nc(C)nc2cc(OC)c(OC)cc12
COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4cn[nH]c4)c3)c2cc1OC,*c1cn[nH]c1,*c1cn[nH]c1
COc1cc2nc(C)nc(N[C@H](C)c3cccc(-c4cn[nH]c4)c3)c2cc1OC,*c1cccc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1,*c1cccc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1
COc1ccc(S(=O)(=O)Nc2nccs2)cc1,*c1nccs1,*c1nccs1
COc1ccc(S(=O)(=O)Nc2nccs2)cc1,*S(=O)(=O)c1ccc(OC)cc1,*S(=O)(=O)c1ccc(OC)cc1
COc1ccc(S(=O)(=O)Nc2nccs2)cc1,*Nc1nccs1,*Nc1nccs1
COc1ccc(S(=O)(=O)Nc2nccs2)cc1,*c1nccs1,*c1nccs1
COc1ccc(S(=O)(=O)Nc2nccs2)cc1,*S(=O)(=O)c1ccc(OC)cc1,*S(=O)(=O)c1ccc(OC)cc1
COc1ccc(S(=O)(=O)Nc2nccs2)cc1,*Nc1nccs1,*Nc1nccs1
Cc1c(C#N)cccc1[C@@H](C)Nc1nnc(C)c2cnc(N3CCOCC3)cc12,*[C@H](C)c1cccc(C#N)c1C,*[C@H](C)c1cccc(C#N)c1C
Cc1c(C#N)cccc1[C@@H](C)Nc1nnc(C)c2cnc(N3CCOCC3)cc12,*c1nnc(C)c2cnc(N3CCOCC3)cc12,*c1nnc(C)c2cnc(N3CCOCC3)cc12
Cc1c(C#N)cccc1[C@@H](C)Nc1nnc(C)c2cnc(N3CCOCC3)cc12,*N1CCOCC1,*N1CCOCC1
Cc1c(C#N)cccc1[C@@H](C)Nc1nnc(C)c2cnc(N3CCOCC3)cc12,*c1cc2c(N[C@H](C)c3cccc(C#N)c3C)nnc(C)c2cn1,*c1cc2c(N[C@H](C)c3cccc(C#N)c3C)nnc(C)c2cn1
COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1OC,*[C@H](C)c1cccc(C(F)(F)F)c1,*[C@H](C)c1cccc(C(F)(F)F)c1
COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(F)(F)F)c3)c2cc1OC,*c1nc(C)nc2cc(OC)c(OC)cc12,*c1nc(C)nc2cc(OC)c(OC)cc12
Cc1c([C@@H](C)Nc2nnc(C)c3ccc(N4CCNCC4)cc23)cccc1C(F)(F)F,*[C@H](C)c1cccc(C(F)(F)F)c1C,*[C@H](C)c1cccc(C(F)(F)F)c1C
