id,frag1,frag2,new_smiles
1,*NC[C@@H]1CCCC[C@H]1CCOc1cccnc1,*C(=O)Cc1c[nH]c2ccc(OC)cc12,COc1ccc2[nH]cc(CC(=O)NC[C@@H]3CCCC[C@H]3CCOc3cccnc3)c2c1
2,*C(=O)c1cnn(-c2ccccc2)c1N,*C(=O)c1cc(NC(=O)C=Cc2ccccc2)ccc1C,Cc1ccc(NC(=O)C=Cc2ccccc2)cc1C(=O)C(=O)c1cnn(-c2ccccc2)c1N
3,*CO,*c1ccc2ncn(-c3ccc(N4CCOCC4)cc3)c(=O)c2c1,O=c1c2cc(CO)ccc2ncn1-c1ccc(N2CCOCC2)cc1
4,*C(=O)[C@@H]1CN2C(=O)CCN2C12CCCC2,*c1cnc(N)nc1,Nc1ncc(C(=O)[C@@H]2CN3C(=O)CCN3C23CCCC3)cn1
5,*N1CCN(c2ncnc3sc(CCF)cc23)CC1,*c1cc(OC)c(OC)c(OC)c1,COc1cc(N2CCN(c3ncnc4sc(CCF)cc34)CC2)cc(OC)c1OC
6,*CCO,*CC(=O)[O-],O=C([O-])CCCO
7,*C1CN([C@H](C)c2nc3c(cnn3C3CCCC3)c(=O)[nH]2)C1,*S(C)(=O)=O,C[C@H](c1nc2c(cnn2C2CCCC2)c(=O)[nH]1)N1CC(S(C)(=O)=O)C1
8,*N1CC[C@H](N)C1,*Cc1ncccn1,N[C@H]1CCN(Cc2ncccn2)C1
9,*N[C@H]1CCCN(S(C)(=O)=O)C1,*C(=O)[C@H](CC(C)C)NC(=O)NCc1cccc(C)c1C,Cc1cccc(CNC(=O)N[C@@H](CC(C)C)C(=O)N[C@H]2CCCN(S(C)(=O)=O)C2)c1C
10,*N1CCN(C)CC1,*CC(=O)N1CCc2ccccc21,CN1CCN(CC(=O)N2CCc3ccccc32)CC1
11,*c1cc2c(N[C@H](C)c3cccc(C#N)c3C)nnc(C)c2cn1,*c1ccc(N2CCNCC2)cc1,Cc1c(C#N)cccc1[C@@H](C)Nc1nnc(C)c2cnc(-c3ccc(N4CCNCC4)cc3)cc12
12,*CC(=O)N1CCc2ccccc21,*n1ncc2c(=O)[nH]c(N[C@H](C)C(=O)N3CC[C@H](F)C3)nc21,C[C@@H](Nc1nc2c(cnn2CC(=O)N2CCc3ccccc32)c(=O)[nH]1)C(=O)N1CC[C@H](F)C1
13,*[C@H]1CCN(C(=O)Cc2ccc(OC(F)(F)F)cc2)C[C@H]1F,*N1CC(=O)N(CC)C1=O,CCN1C(=O)CN([C@H]2CCN(C(=O)Cc3ccc(OC(F)(F)F)cc3)C[C@H]2F)C1=O
14,*C[C@H](O)CO,*N1CCN(c2ncnc3sc(CC(F)(F)F)cc23)CC1,OC[C@@H](O)CN1CCN(c2ncnc3sc(CC(F)(F)F)cc23)CC1
15,*c1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,*N1CCN(CC)CC1,CCN1CCN(c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)CC1
16,*c1cn2ccc(N3CC[C@H](N)C3)cc2n1,*C=O,N[C@H]1CCN(c2ccn3cc(C=O)nc3c2)C1
17,*n1ncc2c(=O)[nH]c([C@@H]3CN(Cc4ncccn4)C[C@H]3C)nc21,*c1ccccc1C,Cc1ccccc1-n1ncc2c(=O)[nH]c([C@@H]3CN(Cc4ncccn4)C[C@H]3C)nc21
18,*Nc1c(C)nn(C)c1C,*c1ncnc2sc(CC(F)F)cc12,Cc1nn(C)c(C)c1Nc1ncnc2sc(CC(F)F)cc12
19,*N=O,*C=O,O=CN=O
20,*CCNC(=O)C(C#N)=Cc1ccc2c[nH]nc2c1,*c1ccncc1,N#CC(=Cc1ccc2c[nH]nc2c1)C(=O)NCCc1ccncc1
21,*C(=O)CCC(=O)O,*[C@@H](C)C(=O)Nc1ccc(OC)cc1,COc1ccc(NC(=O)[C@H](C)C(=O)CCC(=O)O)cc1
22,*Nc1cnn(Cc2cccc(C#N)c2)c1,*C(=O)C(=NOC)c1csc(N)n1,CON=C(C(=O)Nc1cnn(Cc2cccc(C#N)c2)c1)c1csc(N)n1
23,*C(=O)c1ccccc1,*S(C)(=O)=O,CS(=O)(=O)C(=O)c1ccccc1
24,*c1nc(C)nc2cc(OC)c(OC)cc12,*S(=O)(=O)c1ccc(F)cc1C,COc1cc2nc(C)nc(S(=O)(=O)c3ccc(F)cc3C)c2cc1OC
25,*N1c2cc(-n3c(=O)[nH]c4ncccc43)ccc2C(=O)NC1(C)C,*[C@@H](C)C(=O)Nc1ccc(OC)cc1,COc1ccc(NC(=O)[C@H](C)N2c3cc(-n4c(=O)[nH]c5ncccc54)ccc3C(=O)NC2(C)C)cc1
26,*n1nc(C)cc1C,*Nc1cnn(Cc2cccc(C#N)c2)c1,Cc1cc(C)n(Nc2cnn(Cc3cccc(C#N)c3)c2)n1
27,*c1nc(N2C[C@@H](C)O[C@@H](C)C2)ncc1Cl,*N1CCN(c2nnc(CF)s2)CC1,C[C@@H]1CN(c2ncc(Cl)c(N3CCN(c4nnc(CF)s4)CC3)n2)C[C@H](C)O1
28,*C(=O)c1cccc(-c2cnn(C)c2)n1,*c1cc(Cl)c(OC)cc1OC,COc1cc(OC)c(C(=O)c2cccc(-c3cnn(C)c3)n2)cc1Cl
29,*C(=O)C(C)C,*c1ccncc1,CC(C)C(=O)c1ccncc1
30,*N[C@@H](C)c1ccccc1,*C(=O)Cc1c[nH]c2ccc(OC)cc12,COc1ccc2[nH]cc(CC(=O)N[C@@H](C)c3ccccc3)c2c1
31,*C(=O)Cc1ccc(OC(F)(F)F)cc1,*CCN,NCCC(=O)Cc1ccc(OC(F)(F)F)cc1
32,*N1C[C@H]2CCCC[C@@H]2C[C@H]1CN[C@H](C=O)Cc1cnc[nH]1,*[C@@H](C)C(=O)Nc1ccc(OC)cc1,COc1ccc(NC(=O)[C@H](C)N2C[C@H]3CCCC[C@@H]3C[C@H]2CN[C@H](C=O)Cc2cnc[nH]2)cc1
