id,frag1,frag2,new_smiles
1,*CCOCCOCCOCCOCC,*c1ccc(N(C)C)cc1,CCOCCOCCOCCOCCc1ccc(N(C)C)cc1
2,*N1CCO[C@H](C)C1,*N[C@H]1CO[C@H](CO)[C@@H](O)[C@@H]1O,C[C@@H]1CN(N[C@H]2CO[C@H](CO)[C@@H](O)[C@@H]2O)CCO1
3,*c1nnn[nH]1,*CCOCCOCCO,OCCOCCOCCc1nnn[nH]1
4,*CCOCCOCCOCCOC,*c1c(NCCCCCCO)c(=O)c1=O,COCCOCCOCCOCCc1c(NCCCCCCO)c(=O)c1=O
5,*C(=O)c1cc(-n2cccn2)cc(C(F)(F)F)c1,*c1c(NCCCCCCO)c(=O)c1=O,O=C(c1cc(-n2cccn2)cc(C(F)(F)F)c1)c1c(NCCCCCCO)c(=O)c1=O
6,*c1ccccn1,*[C@H]1C[C@H](O)[C@@H](CO[P@H](=O)[O-])O1,O=[P@H]([O-])OC[C@H]1O[C@@H](c2ccccn2)C[C@@H]1O
7,*[C@@H]1O[C@H](CO[P@H](=O)[O-])[C@@H](O)[C@@H]1F,*CCO,O=[P@H]([O-])OC[C@H]1O[C@@H](CCO)[C@@H](F)[C@@H]1O
8,*CCOCCOCCOC,*c1cccc(NC(=O)c2cc(-c3nnn[nH]3)cc(C(F)(F)F)c2)c1,COCCOCCOCCc1cccc(NC(=O)c2cc(-c3nnn[nH]3)cc(C(F)(F)F)c2)c1
9,*C(=O)[C@@H](N)C[C@@H](N)Cc1ccccc1,*CCCCCCO,N[C@@H](Cc1ccccc1)C[C@H](N)C(=O)CCCCCCO
10,*N1CCO[C@H](C)C1,*c1c(NCCOCCO)c(=O)c1=O,C[C@@H]1CN(c2c(NCCOCCO)c(=O)c2=O)CCO1
11,*N(C)C,*[C@H]1C[C@H](O)[C@@H](CO[P@@H](=O)[O-])O1,CN(C)[C@H]1C[C@H](O)[C@@H](CO[P@@H](=O)[O-])O1
12,*c1cccc(NC(=O)c2cc(-n3cccn3)cc(C(F)(F)F)c2)c1,*N1CCO[C@H](C)C1,C[C@@H]1CN(c2cccc(NC(=O)c3cc(-n4cccn4)cc(C(F)(F)F)c3)c2)CCO1
13,*CCOCCOCCOC,*c1ccccn1,COCCOCCOCCc1ccccn1
14,*C(=O)c1ccccc1[SeH],*C(=O)c1cc(-n2cccn2)cc(C(F)(F)F)c1,O=C(C(=O)c1ccccc1[SeH])c1cc(-n2cccn2)cc(C(F)(F)F)c1
15,*CCOCCOCCOCCOC,*CCOCCOCCOCCOCCOCCO,COCCOCCOCCOCCCCOCCOCCOCCOCCOCCO
16,*n1c(Cl)nc2c(=O)[nH]c(N)nc21,*c1ccccn1,Nc1nc2c(nc(Cl)n2-c2ccccn2)c(=O)[nH]1
17,*n1c2c([n+](CCOC)c1C)C(=O)c1ccccc1C2=O,*Cc1cnccn1,COCC[n+]1c2c(n(Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O
18,*c1cc2ccccc2c(N=C(N)c2nc(C)cc(C)n2)n1,*Nc1ccccc1,Cc1cc(C)nc(C(N)=Nc2nc(Nc3ccccc3)cc3ccccc23)n1
19,*CCNCCO,*N(C)C,CN(C)CCNCCO
20,*CCCCCCO,*n1cccn1,OCCCCCCn1cccn1
