id,frag1,frag2,new_smiles
1,*Nc1cccc(OC)c1,*c1noc(-c2ccc(CC(C)C)cc2)n1,COc1cccc(Nc2noc(-c3ccc(CC(C)C)cc3)n2)c1
2,*c1ccsc1,*Cc1ccc2c(c1)COc1ccccc1C2=C(C)c1noc(=O)[nH]1,CC(=C1c2ccc(Cc3ccsc3)cc2COc2ccccc21)c1noc(=O)[nH]1
3,*C(=O)CCCCCCCCCCCCCC,*[C@H]1O[C@H](CO)C[C@H](O)[C@H]1O,CCCCCCCCCCCCCCC(=O)[C@H]1O[C@H](CO)C[C@H](O)[C@H]1O
4,*c1ccccc1CC(=O)O,*N[C@H]1CCC[C@@H](n2c(-c3ccccn3)nc3cc(C(=O)NC)ccc32)C1,CNC(=O)c1ccc2c(c1)nc(-c1ccccn1)n2[C@@H]1CCC[C@H](Nc2ccccc2CC(=O)O)C1
5,*c1cccc(C)c1C,*Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,Cc1cccc(Cc2ccc(-c3ccccc3-c3noc(=O)[nH]3)cc2)c1C
6,*c1noc(=O)[nH]1,*NCCCCCC,CCCCCCNc1noc(=O)[nH]1
7,*CCCCC(=O)O,*c1noc(-c2ccc(CC(C)C)cc2)n1,CC(C)Cc1ccc(-c2nc(CCCCC(=O)O)no2)cc1
8,*n1ccc2c(OC(C)(C)C(=O)O)cccc21,*c1nc(-c2ccc(CN3CC(C(=O)[O-])C3)c(F)c2)no1,CC(C)(Oc1cccc2c1ccn2-c1nc(-c2ccc(CN3CC(C(=O)[O-])C3)c(F)c2)no1)C(=O)O
9,*CCCN1CCC[C@@H](C(=O)[O-])C1,*c1ccc2cc(C(=O)c3ccccc3)ccc2c1CCC,CCCc1c(CCCN2CCC[C@@H](C(=O)[O-])C2)ccc2cc(C(=O)c3ccccc3)ccc12
10,*C(C)=O,*C(=O)CNC(=O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC(=O)NCC(=O)C(C)=O
11,*[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O,*CC(F)(F)COc1ccccc1,C[C@@H]1C[C@H](N(C)C)[C@@H](O)[C@H](CC(F)(F)COc2ccccc2)O1
12,*CCC=CCCC(=O)O,*CCOCCOCCO,O=C(O)CCC=CCCCCOCCOCCO
13,*C(=O)Nc1cccc2ccccc12,*C[C@@H]1[C@@H](CC=CCCCC(=O)[O-])[C@@H](O)C[C@H]1O,O=C([O-])CCCC=CC[C@@H]1[C@@H](CC(=O)Nc2cccc3ccccc23)[C@H](O)C[C@@H]1O
14,*C[C@@H](O)CO,*CCC=CCC=CCC=CCC,CCC=CCC=CCC=CCCC[C@@H](O)CO
15,*c1ccccc1C(=O)O,*S(=O)(=O)c1ccc(Cl)cc1Cl,O=C(O)c1ccccc1S(=O)(=O)c1ccc(Cl)cc1Cl
16,*CCC=CCC=CCC=CCC=CCC,*N[C@H](C(=O)NC)C(C)C,CCC=CCC=CCC=CCC=CCCN[C@H](C(=O)NC)C(C)C
17,*CCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O,*n1ccnc1C,Cc1nccn1CCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)O
18,*c1cccc(OC(=O)NCCCCCC)c1,*CCCCC(=O)O,CCCCCCNC(=O)Oc1cccc(CCCCC(=O)O)c1
19,*c1ccccc1CC(=O)O,*C(=O)CCCCCCC,CCCCCCCC(=O)c1ccccc1CC(=O)O
20,*CCOCC,*OC[C@@H](O)CO,CCOCCOC[C@@H](O)CO
21,*N[C@H](C(=O)NC)C1CCCCC1,*O,CNC(=O)[C@@H](NO)C1CCCCC1
22,*c1c(Cl)ccc(C)c1Cl,*C(=O)Nc1ccncc1,Cc1ccc(Cl)c(C(=O)Nc2ccncc2)c1Cl
23,*CCOCCOCCOCCOCCOCCO,*c1ccc([C@H](C)C(=O)[O-])cc1F,C[C@H](C(=O)[O-])c1ccc(CCOCCOCCOCCOCCOCCO)c(F)c1
24,*C(=O)Cc1ccc(CCCCn2ccnc2C)cc1,*c1noc(=O)[nH]1,Cc1nccn1CCCCc1ccc(CC(=O)c2noc(=O)[nH]2)cc1
25,*CCOCCOCCOCCO,*CCC=CCC=CCC=CCCCC(=O)OC[C@@H](O)CO,O=C(CCCC=CCC=CCC=CCCCCOCCOCCOCCO)OC[C@@H](O)CO
26,*c1ccc(-[n+]2c(N3CCN(C)CC3)nc3c(F)cccc3c2O)cc1,*N1CCN(C(C)=O)CC1,CC(=O)N1CCN(c2ccc(-[n+]3c(N4CCN(C)CC4)nc4c(F)cccc4c3O)cc2)CC1
27,*C[C@H]1CO[C@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1,*CCOCCOCCOCC,CCOCCOCCOCCC[C@H]1CO[C@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1
28,*c1ccccn1,*NCc1ccc(O)c(OC)c1,COc1cc(CNc2ccccn2)ccc1O
29,*CCOCC,*n1c(-c2ccccn2)nc2cc(C(=O)NC)ccc21,CCOCCn1c(-c2ccccn2)nc2cc(C(=O)NC)ccc21
30,*C(=O)CCCCC,*CCC=CCC=CCCCC(=O)OC[C@@H](O)CO,CCCCCC(=O)CCC=CCC=CCCCC(=O)OC[C@@H](O)CO
31,*C(=O)CCCC,*C(=O)CCCCCC,CCCCCCC(=O)C(=O)CCCC
32,*CCC=CCC=CCCCCC,*O,CCCCCC=CCC=CCCO
33,*c1ccc(C(=O)N[C@H](C(=O)NC)C(C)C)o1,*CCC=CCC,CCC=CCCc1ccc(C(=O)N[C@H](C(=O)NC)C(C)C)o1
34,*CC#CC(C)(C)C,*[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,CC(C)(C)C#CC[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
35,*n1c(CC)nc2ccn(Cc3ccccc3)c(=O)c21,*[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,CCc1nc2ccn(Cc3ccccc3)c(=O)c2n1[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
36,*n1ccnc1C,*CC[C@@H]1[C@@H](C=CC(F)(F)COc2ccccc2)[C@H](O)C[C@@H]1O,Cc1nccn1CC[C@@H]1[C@@H](C=CC(F)(F)COc2ccccc2)[C@H](O)C[C@@H]1O
37,*[C@H]1O[C@H](CO)C[C@H](O)[C@H]1O,*Cc1ccccc1,OC[C@@H]1C[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)O1
38,*c1cccc(-c2ccc([C@H](C)C(=O)[O-])cc2F)c1,*n1ccnc1C,Cc1nccn1-c1cccc(-c2ccc([C@H](C)C(=O)[O-])cc2F)c1
39,*C[C@H](O)CO,*c1ccc(Cn2c(CCCC)nc(C)c(Cc3nc(C(C)(C)C)no3)c2=O)cc1,CCCCc1nc(C)c(Cc2nc(C(C)(C)C)no2)c(=O)n1Cc1ccc(C[C@H](O)CO)cc1
40,*c1ccc(OC[C@H]2CO[C@](Cn3ccnc3)(c3ccc(Cl)cc3Cl)O2)cc1,*n1ccnc1,Clc1ccc([C@@]2(Cn3ccnc3)OC[C@H](COc3ccc(-n4ccnc4)cc3)O2)c(Cl)c1
41,*C[C@@H](O)COP(=O)(O)O,*NCCCCCC,CCCCCCNC[C@@H](O)COP(=O)(O)O
42,*CCCCCCCCC(=O)O,*c1ccc(CN2CC(C(=O)[O-])C2)c(F)c1,O=C(O)CCCCCCCCc1ccc(CN2CC(C(=O)[O-])C2)c(F)c1
43,*C(=O)c1ccc(Br)s1,*C(O)CC1CCC(O)C(OC)C1,COC1CC(CC(O)C(=O)c2ccc(Br)s2)CCC1O
44,*NCCSC(=O)CCCCCCCC,*N1CCN(C)CC1,CCCCCCCCC(=O)SCCNN1CCN(C)CC1
45,*C(=O)CCCCC=CC(C)C,*c1ccc(C(=O)N[C@H](C(=O)NC)C(C)C)o1,CNC(=O)[C@@H](NC(=O)c1ccc(C(=O)CCCCC=CC(C)C)o1)C(C)C
46,*[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,*CCCN1CCCc2c(OC(C)(C)C(=O)O)cccc21,CC(C)(Oc1cccc2c1CCCN2CCC[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)C(=O)O
47,*n1ccc2c(OC(C)(C)C(=O)O)cccc21,*CCCCC(=O)O,CC(C)(Oc1cccc2c1ccn2CCCCC(=O)O)C(=O)O
48,*N1CCN(C)CC1,*n1ccc2c(OC(C)(C)C(=O)O)cccc21,CN1CCN(n2ccc3c(OC(C)(C)C(=O)O)cccc32)CC1
49,*NC,*C(=O)Cc1ccc(O)c(OC)c1,CNC(=O)Cc1ccc(O)c(OC)c1
50,*c1ccccc1CC(=O)O,*C(=O)CCCCCC,CCCCCCC(=O)c1ccccc1CC(=O)O
51,*C(=O)c1cc2ccccc2s1,*C(=O)CCCCC,CCCCCC(=O)C(=O)c1cc2ccccc2s1
52,*NCc1ccc(O)c(OC)c1,*NCCC1CCCCC1,COc1cc(CNNCCC2CCCCC2)ccc1O
53,*CCC=CCCCCC,*CCOCCOCCOCCO,CCCCCC=CCCCCOCCOCCOCCO
54,*CCCCC(=O)O,*CCC=CCCCCC,CCCCCC=CCCCCCCC(=O)O
55,*c1ccccc1C(=O)O,*CCCCCCCCC,CCCCCCCCCc1ccccc1C(=O)O
56,*CCOCCOCC,*Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,CCOCCOCCCc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1
57,*c1ccc(C(=O)N[C@H](C(=O)NC)C(C)C)o1,*C[C@@H]1[C@@H](CC=CCCCC(=O)[O-])[C@@H]2C[C@H]1OO2,CNC(=O)[C@@H](NC(=O)c1ccc(C[C@@H]2[C@@H](CC=CCCCC(=O)[O-])[C@@H]3C[C@H]2OO3)o1)C(C)C
58,*n1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21,*c1ccccn1,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(-c3ccccn3)c2cc1C
59,*C(=O)Cc1ccc(O)c(OC)c1,*C(=O)c1ccc(Br)s1,COc1cc(CC(=O)C(=O)c2ccc(Br)s2)ccc1O
60,*c1ccccc1,*C(=O)[C@H](CC(C)C)NC(=O)c1cc2ccccc2s1,CC(C)C[C@H](NC(=O)c1cc2ccccc2s1)C(=O)c1ccccc1
61,*N[C@H](C(=O)NC)C(C)C,*C(=O)Cc1ccc(O)c(OC)c1,CNC(=O)[C@@H](NC(=O)Cc1ccc(O)c(OC)c1)C(C)C
62,*CCCCC(=O)OC[C@@H](O)CO,*c1ccc([C@H](C)C(=O)[O-])cc1F,C[C@H](C(=O)[O-])c1ccc(CCCCC(=O)OC[C@@H](O)CO)c(F)c1
63,*NCc1ccc(O)c(OC)c1,*C[C@H]1CO[C@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1,COc1cc(CNC[C@H]2CO[C@](Cn3ccnc3)(c3ccc(Cl)cc3Cl)O2)ccc1O
64,*C[C@@H]1[C@@H](CC=CCCCC(=O)[O-])[C@@H](O)C[C@H]1O,*CCC=CCCCC(=O)O,O=C([O-])CCCC=CC[C@@H]1[C@@H](CCCC=CCCCC(=O)O)[C@H](O)C[C@@H]1O
65,*CCOCCOCCOCCOCCO,*CCCN1CCC[C@@H](C(=O)[O-])C1,O=C([O-])[C@@H]1CCCN(CCCCCOCCOCCOCCOCCO)C1
66,*c1ccc([C@H](C)C(=O)[O-])cc1F,*CC(=O)Nc1cccc(OC)c1,COc1cccc(NC(=O)Cc2ccc([C@H](C)C(=O)[O-])cc2F)c1
67,*OC[C@H](O)CO,*CCC=CCC=CCCCC(=O)OC[C@@H](O)CO,O=C(CCCC=CCC=CCCOC[C@H](O)CO)OC[C@@H](O)CO
68,*NCc1ccc(O)c(OC)c1,*N1CC(C(=O)[O-])C1,COc1cc(CNN2CC(C(=O)[O-])C2)ccc1O
69,*N1CCC[C@@H](C(=O)[O-])C1,*CCCN1CCCc2c(OC(C)(C)C(=O)O)cccc21,CC(C)(Oc1cccc2c1CCCN2CCCN1CCC[C@@H](C(=O)[O-])C1)C(=O)O
70,*n1cnc2c(N)ncnc21,*c1ccc(C)cc1CC(=O)O,Cc1ccc(-n2cnc3c(N)ncnc32)c(CC(=O)O)c1
71,*C[C@]1(c2ccc(Cl)cc2Cl)OC[C@H](COc2ccc(N3CCN(C(C)=O)CC3)cc2)O1,*NC,CNC[C@]1(c2ccc(Cl)cc2Cl)OC[C@H](COc2ccc(N3CCN(C(C)=O)CC3)cc2)O1
72,*Nc1cccc(OC)c1,*C(=O)NCCCCCC,CCCCCCNC(=O)Nc1cccc(OC)c1
73,*CCOCC,*c1ccc(C(=O)N[C@H](C(=O)NC)C(C)C)o1,CCOCCc1ccc(C(=O)N[C@H](C(=O)NC)C(C)C)o1
74,*S(=O)(=O)c1ccc(Cl)cc1Cl,*CCC=CCC,CCC=CCCS(=O)(=O)c1ccc(Cl)cc1Cl
75,*C(=O)Nc1ccc(Cl)cc1,*C(=O)CCCCCCCCC,CCCCCCCCCC(=O)C(=O)Nc1ccc(Cl)cc1
76,*CCOCCOCCOCCOCC,*n1cnc2c(N)ncnc21,CCOCCOCCOCCOCCn1cnc2c(N)ncnc21
77,*Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,*CCC=CCCCC(=O)OC[C@@H](O)CO,O=C(CCCC=CCCCc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1)OC[C@@H](O)CO
78,*n1c(CC)nc2ccn(Cc3ccccc3)c(=O)c21,*Nc1cccc(OC)c1,CCc1nc2ccn(Cc3ccccc3)c(=O)c2n1Nc1cccc(OC)c1
79,*C[C@@H]1[C@@H](CC=CCCCC(=O)[O-])[C@@H]2C[C@H]1OO2,*C(=O)CCCCC,CCCCCC(=O)C[C@@H]1[C@@H](CC=CCCCC(=O)[O-])[C@@H]2C[C@H]1OO2
80,*n1c(CCCC)nc(C)c(Cc2nc(C(C)(C)C)no2)c1=O,*CCOCC,CCCCc1nc(C)c(Cc2nc(C(C)(C)C)no2)c(=O)n1CCOCC
81,*C(O)CC1CCC(O)C(OC)C1,*CC(F)(F)C=C[C@@H]1[C@@H](CC=CCCCC(=O)[O-])[C@@H](O)C[C@H]1O,COC1CC(CC(O)CC(F)(F)C=C[C@@H]2[C@@H](CC=CCCCC(=O)[O-])[C@@H](O)C[C@H]2O)CCC1O
82,*CCOCCOCCOCCOCCOCCO,*CCOCCOCCO,OCCOCCOCCCCOCCOCCOCCOCCOCCO
83,*CCCCCCCCC(=O)O,*CCOCCOCC,CCOCCOCCCCCCCCCCC(=O)O
84,*CCO,*c1noc(=O)[nH]1,O=c1[nH]c(CCO)no1
