id,frag1,frag2,new_smiles
1,*c1cnn(C)c1,*C(=O)c1cccc(OC(F)(F)F)c1,Cn1cc(C(=O)c2cccc(OC(F)(F)F)c2)cn1
2,*[C@H](C)c1cccc(C#N)c1C,*c1cnc2ccc(NC3CCOCC3)nn12,Cc1c(C#N)cccc1[C@@H](C)c1cnc2ccc(NC3CCOCC3)nn12
3,*c1ccnc(C(=O)NC)c1,*n1ncc2c(=O)[nH]c(N[C@H](C)c3ccc(Cl)cc3)nc21,CNC(=O)c1cc(-n2ncc3c(=O)[nH]c(N[C@H](C)c4ccc(Cl)cc4)nc32)ccn1
4,*Cc1ccc(F)c(Cl)c1,*C(=O)C(=C)C[SeH],C=C(C[SeH])C(=O)Cc1ccc(F)c(Cl)c1
5,*c1c(C)n[nH]c1C,*c1cnc2c(-c3ccnc4ccccc34)cnn2c1,Cc1n[nH]c(C)c1-c1cnc2c(-c3ccnc4ccccc34)cnn2c1
6,*c1cnc2c(-c3ccnc4ccccc34)cnn2c1,*C(=O)C1CCN(c2cc(C#N)ncn2)CC1,N#Cc1cc(N2CCC(C(=O)c3cnc4c(-c5ccnc6ccccc56)cnn4c3)CC2)ncn1
7,*c1cc(F)c2nc(C)n(C(C)C)c2c1,*N1CCOCC1,Cc1nc2c(F)cc(N3CCOCC3)cc2n1C(C)C
8,*N1CN(C)c2c1nc(N)[nH]c2=O,*C(=O)Cc1ccc(OC(F)(F)F)cc1,CN1CN(C(=O)Cc2ccc(OC(F)(F)F)cc2)c2nc(N)[nH]c(=O)c21
9,*Cc1ccco1,*n1ncc2c(=O)[nH]c([C@@H]3CN(Cc4ncccn4)C[C@H]3C)nc21,C[C@@H]1CN(Cc2ncccn2)C[C@H]1c1nc2c(cnn2Cc2ccco2)c(=O)[nH]1
10,*C(=O)C(C)C,*c1cccc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1,COc1cc2nc(C)nc(N[C@H](C)c3cccc(C(=O)C(C)C)c3)c2cc1OC
11,*c1nccs1,*CCC(CO)CO,OCC(CO)CCc1nccs1
12,*C(=O)CO,*Cc1ccc(Cl)cc1,O=C(CO)Cc1ccc(Cl)cc1
13,*[C@H](C)c1nc2c(cnn2C2CCCC2)c(=O)[nH]1,*C(=O)O,C[C@@H](C(=O)O)c1nc2c(cnn2C2CCCC2)c(=O)[nH]1
14,*CC(=O)NCC(F)(F)F,*c1ccc2c(C(=O)Nc3cnn(Cc4cccc(C#N)c4)c3)n[nH]c2c1,N#Cc1cccc(Cn2cc(NC(=O)c3n[nH]c4cc(CC(=O)NCC(F)(F)F)ccc34)cn2)c1
15,*N1CN(C)c2c1nc(N)[nH]c2=O,*n1nc(CN)c2c1CCC2,CN1CN(n2nc(CN)c3c2CCC3)c2nc(N)[nH]c(=O)c21
16,*c1cnc(C(F)(F)F)c(NC(=O)c2cccc(-c3cnn(C)c3)n2)c1,*CC1CC1,Cn1cc(-c2cccc(C(=O)Nc3cc(CC4CC4)cnc3C(F)(F)F)n2)cn1
