id,frag1,frag2,new_smiles
1,*c1nc2ccccc2[nH]1,*c1ccc(CSc2nc3c(c(=O)[nH]2)CCC3)cc1,O=c1[nH]c(SCc2ccc(-c3nc4ccccc4[nH]3)cc2)nc2c1CCC2
2,*N1CCN(Cc2ccc(Br)cc2)CC1,*C(=O)CCC(=O)O,O=C(O)CCC(=O)N1CCN(Cc2ccc(Br)cc2)CC1
3,*CCNC(=O)OC,*Cc1cc(-c2ccsc2)cs1,COC(=O)NCCCc1cc(-c2ccsc2)cs1
4,*c1ccc(C(=O)O)cc1,*Cc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,O=C(O)c1ccc(Cc2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)cc1
5,*CCC=CCCCC(=O)O,*C(=O)CCCCCCC,CCCCCCCC(=O)CCC=CCCCC(=O)O
6,*NCCCCc1ccccc1,*C(=O)c1c(CC)nc2ccc(Cl)cn12,CCc1nc2ccc(Cl)cn2c1C(=O)NCCCCc1ccccc1
7,*c1cc(F)cc(-c2ncncc2F)c1,*C(=O)[C@H]1CCCCN1S(=O)(=O)c1ccc(C)cc1,Cc1ccc(S(=O)(=O)N2CCCC[C@@H]2C(=O)c2cc(F)cc(-c3ncncc3F)c2)cc1
8,*c1ccsc1,*C(=O)C(C)(C)O,CC(C)(O)C(=O)c1ccsc1
9,*NS(=O)(=O)c1ccc(NC2CCOCC2)c([N+](=O)[O-])c1,*c1cccs1,O=[N+]([O-])c1cc(S(=O)(=O)Nc2cccs2)ccc1NC1CCOCC1
10,*N1CCOCC1,*CC(=O)N(CCN(CC)CC)C[C@]12C[C@](c3ccc(C(F)(F)F)cc3)(C1)C2,CCN(CC)CCN(C[C@]12C[C@](c3ccc(C(F)(F)F)cc3)(C1)C2)C(=O)CN1CCOCC1
11,*c1cccc2c(CCCOc3cccc4ccccc34)c(C(=O)O)nn12,*n1ccnc1,O=C(O)c1nn2c(-n3ccnc3)cccc2c1CCCOc1cccc2ccccc12
12,*C(=O)Cc1ccc(CCCCn2ccnc2C)cc1,*NCc1ccccc1,Cc1nccn1CCCCc1ccc(CC(=O)NCc2ccccc2)cc1
13,*Cc1ccc(F)c(F)c1,*C(=O)c1ccc(N2CCCCC2)cc1,O=C(Cc1ccc(F)c(F)c1)c1ccc(N2CCCCC2)cc1
14,*Nc1nc(C(F)(F)F)c(-c2ccnc(C(C)(C)C#N)c2)s1,*C(=O)OC,COC(=O)Nc1nc(C(F)(F)F)c(-c2ccnc(C(C)(C)C#N)c2)s1
15,*N1CCc2ccc([N+](=O)[O-])cc21,*[C@H]1O[C@H](CO)[C@H](OCc2ccccc2)[C@H](O)[C@H]1O,O=[N+]([O-])c1ccc2c(c1)N([C@H]1O[C@H](CO)[C@H](OCc3ccccc3)[C@H](O)[C@H]1O)CC2
16,*NC(C)C,*C(=O)c1ccccc1N,CC(C)NC(=O)c1ccccc1N
17,*n1cc(F)c2c(N)ncnc21,*c1cccs1,Nc1ncnc2c1c(F)cn2-c1cccs1
